gene_name,uniprot_code
CREBBP,Q92793
EP300,Q09472
EPAS1,Q99814
MAX,P61244
RHOA,P61586
TBL1XR1,Q9BZK7
RABEP1,Q15276
SDHA,P31040
CBLB,Q13191
JAK3,P52333
NPM1,P06748
PER1,O15534
PPP2R1A,P30153
SFPQ,P23246
XPO1,O14980
ATP1A1,P05023
BRCA1,P38398
DDX3X,O00571
DICER1,Q9UPY3
EZH2,Q15910
FBXW7,Q969H0
LMNA,P02545
NONO,Q15233
RANBP2,P49792
UBR5,O95071
NCOR1,O75376
NCOR2,Q9Y618
CLTC,Q00610
EIF3E,P60228
EZR,P15311
HNRNPA2B1,P22626
MLH1,P40692
TP53,Q12888
ATM,Q13315
CHEK2,O96017
HIF1A,Q16665
MYOD1,P15172
STAG2,Q8N3U4
LCK,P06239
