gene_pairs,score
O00327_O15055,0.06464
O00327_O15516,0.9995
O00327_O15534,0.0338
O00327_P51449,0.01936
O00327_P56645,0.02733
O00327_Q16526,0.3315
O00327_Q49AN0,0.4565
O00327_Q8WYA1,0.01607
O00327_Q99743,1.0
O15055_O15516,0.05002
O15055_O15534,0.05957
O15055_P20393,0.05365
O15055_P51449,0.1084
O15055_P56645,0.04065
O15055_Q16526,0.2664
O15055_Q49AN0,0.3018
O15055_Q8WYA1,0.0779
O15055_Q99743,0.04468
O15516_O15534,0.026
O15516_P51449,0.010605
O15516_P56645,0.04715
O15516_Q14995,0.015015
O15516_Q16526,0.996
O15516_Q49AN0,0.9976
O15516_Q8WYA1,0.9995
O15516_Q92753,0.01865
O15516_Q99743,0.0497
O15534_P56645,0.0253
O15534_Q14995,0.0641
O15534_Q16526,0.3457
O15534_Q49AN0,0.2047
O15534_Q8WYA1,0.05972
O15534_Q99743,0.1083
P20393_Q14995,0.02469
P35398_Q92753,0.00836
P51449_Q14995,0.01554
P51449_Q8WYA1,0.01333
P51449_Q92753,0.02303
P51449_Q99743,0.0237
P56645_Q16526,0.996
P56645_Q49AN0,0.9956
P56645_Q99743,0.03107
Q14995_Q16526,0.0753
Q16526_Q49AN0,0.075
Q16526_Q8WYA1,0.2153
Q16526_Q99743,0.9985
Q49AN0_Q99743,0.9966
Q8WYA1_Q99743,0.9995
