gene_pairs,score
O15055_P56645,0.04065
O15055_O15534,0.05957
O15534_P56645,0.0253
O15055_Q99743,0.04468
O15516_P56645,0.04715
P56645_Q99743,0.03107
O15516_O15534,0.026
O15534_Q99743,0.1083
Q16526_Q49AN0,0.075
O15516_Q99743,0.0497
P35398_Q92753,0.00836
O15516_Q8WYA1,0.9995
O00327_Q99743,1.0
Q8WYA1_Q99743,0.9995
P51449_Q92753,0.02303
O00327_Q8WYA1,0.01607
P51449_Q14995,0.01554
P20393_Q14995,0.02469
O15055_Q49AN0,0.3018
O15055_Q16526,0.2664
O15055_O15516,0.05002
O00327_O15055,0.06464
P56645_Q49AN0,0.9956
P56645_Q16526,0.996
O15055_Q8WYA1,0.0779
O15055_P51449,0.1084
O15055_P20393,0.05365
O15534_Q49AN0,0.2047
O15534_Q16526,0.3457
O00327_P56645,0.02733
O15516_Q49AN0,0.9976
O15516_Q16526,0.996
O00327_O15534,0.0338
Q49AN0_Q99743,0.9966
Q16526_Q99743,0.9985
O15534_Q8WYA1,0.05972
O15516_Q92753,0.01865
O15534_Q14995,0.0641
O00327_Q49AN0,0.4565
O00327_Q16526,0.3315
O00327_O15516,0.9995
Q16526_Q8WYA1,0.2153
O15516_P51449,0.010605
Q14995_Q16526,0.0753
O15516_Q14995,0.015015
P51449_Q99743,0.0237
O00327_P51449,0.01936
P51449_Q8WYA1,0.01333
