gene_pairs,score
O15055_P56645,0.1401
O15055_O15534,0.1509
O15534_P56645,0.1525
O15516_O15534,0.1565
O15534_Q99743,0.1559
Q16526_Q49AN0,0.1536
Q49AN0_Q99743,0.163
O15516_P35398,0.144
O15516_Q99743,0.1782
O15516_Q92753,0.11975
P35398_Q99743,0.11865
P35398_Q92753,0.2795
Q92753_Q99743,0.0968
O00327_O15516,0.9907
O15516_Q8WYA1,0.996
O00327_Q99743,0.9966
O00327_Q92753,0.08527
O15516_P51449,0.11804
O15516_P20393,0.0937
Q8WYA1_Q99743,0.995
O15516_Q14995,0.1056
Q8WYA1_Q92753,0.0956
P35398_P51449,0.234
P51449_Q99743,0.1192
P20393_P35398,0.2842
P51449_Q92753,0.1038
P35398_Q14995,0.172
Q14995_Q92753,0.1321
O00327_Q8WYA1,0.18
O00327_P51449,0.07025
P51449_Q8WYA1,0.05447
P20393_P51449,0.12146
P20393_Q14995,0.391
O15055_Q49AN0,0.1334
O15055_Q16526,0.1478
O15055_O15516,0.1475
O15055_Q99743,0.1886
P56645_Q49AN0,0.148
O00327_O15055,0.1327
P56645_Q16526,0.1426
O15516_P56645,0.1361
O15055_Q8WYA1,0.1614
P56645_Q99743,0.2244
O15055_P51449,0.1532
O15055_P20393,0.147
O15534_Q49AN0,0.1254
O15534_Q16526,0.1313
O00327_P56645,0.1964
O15516_Q49AN0,0.1523
O15516_Q16526,0.1588
O00327_O15534,0.1222
Q16526_Q99743,0.3005
O15534_Q8WYA1,0.1451
O15534_Q14995,0.1576
O00327_Q49AN0,0.131
O00327_Q16526,0.11523
Q16526_Q8WYA1,0.1294
Q14995_Q16526,0.1414
P51449_Q14995,0.2162
O15055_Q92753,0.1559
P56645_Q92753,0.1738
O15055_Q14995,0.1461
P56645_Q8WYA1,0.1711
O15534_Q92753,0.2334
P51449_P56645,0.1414
P20393_P56645,0.15
P56645_Q14995,0.1895
Q49AN0_Q92753,0.1589
Q16526_Q92753,0.1349
O15534_P51449,0.1687
O15534_P20393,0.1327
Q49AN0_Q8WYA1,0.1224
P51449_Q49AN0,0.1608
P51449_Q16526,0.10925
P20393_Q49AN0,0.1107
P20393_Q16526,0.1545
Q14995_Q49AN0,0.1364
P20393_Q99743,0.0935
P20393_Q92753,0.1754
Q14995_Q99743,0.10913
O00327_P20393,0.12366
O00327_Q14995,0.07776
P20393_Q8WYA1,0.0936
Q14995_Q8WYA1,0.1051
