gene_pairs,uniprot_pairs,score
ARNTL_NPAS2,O00327_Q99743,0.9966
NPAS2_ARNTL,Q99743_O00327,0.9966
CLOCK_ARNTL2,O15516_Q8WYA1,0.996
ARNTL2_CLOCK,Q8WYA1_O15516,0.996
ARNTL2_NPAS2,Q8WYA1_Q99743,0.995
NPAS2_ARNTL2,Q99743_Q8WYA1,0.995
CLOCK_ARNTL,O15516_O00327,0.9907
ARNTL_CLOCK,O00327_O15516,0.9907
NR1D1_NR1D2,P20393_Q14995,0.391
NR1D2_NR1D1,Q14995_P20393,0.391
CRY1_NPAS2,Q16526_Q99743,0.3005
NPAS2_CRY1,Q99743_Q16526,0.3005
RORA_NR1D1,P35398_P20393,0.2842
NR1D1_RORA,P20393_P35398,0.2842
RORB_RORA,Q92753_P35398,0.2795
RORA_RORB,P35398_Q92753,0.2795
RORC_RORA,P51449_P35398,0.234
RORA_RORC,P35398_P51449,0.234
PER1_RORB,O15534_Q92753,0.2334
RORB_PER1,Q92753_O15534,0.2334
NPAS2_PER3,Q99743_P56645,0.2244
PER3_NPAS2,P56645_Q99743,0.2244
NR1D2_RORC,Q14995_P51449,0.2162
RORC_NR1D2,P51449_Q14995,0.2162
PER3_ARNTL,P56645_O00327,0.1964
ARNTL_PER3,O00327_P56645,0.1964
NR1D2_PER3,Q14995_P56645,0.1895
PER3_NR1D2,P56645_Q14995,0.1895
PER2_NPAS2,O15055_Q99743,0.1886
NPAS2_PER2,Q99743_O15055,0.1886
ARNTL2_ARNTL,Q8WYA1_O00327,0.18
ARNTL_ARNTL2,O00327_Q8WYA1,0.18
CLOCK_NPAS2,O15516_Q99743,0.1782
NPAS2_CLOCK,Q99743_O15516,0.1782
NR1D1_RORB,P20393_Q92753,0.1754
RORB_NR1D1,Q92753_P20393,0.1754
RORB_PER3,Q92753_P56645,0.1738
PER3_RORB,P56645_Q92753,0.1738
NR1D2_RORA,Q14995_P35398,0.172
RORA_NR1D2,P35398_Q14995,0.172
PER3_ARNTL2,P56645_Q8WYA1,0.1711
ARNTL2_PER3,Q8WYA1_P56645,0.1711
PER1_RORC,O15534_P51449,0.1687
RORC_PER1,P51449_O15534,0.1687
CRY2_NPAS2,Q49AN0_Q99743,0.163
NPAS2_CRY2,Q99743_Q49AN0,0.163
PER2_ARNTL2,O15055_Q8WYA1,0.1614
ARNTL2_PER2,Q8WYA1_O15055,0.1614
RORC_CRY2,P51449_Q49AN0,0.1608
CRY2_RORC,Q49AN0_P51449,0.1608
CRY2_RORB,Q49AN0_Q92753,0.1589
RORB_CRY2,Q92753_Q49AN0,0.1589
CLOCK_CRY1,O15516_Q16526,0.1588
CRY1_CLOCK,Q16526_O15516,0.1588
PER1_NR1D2,O15534_Q14995,0.1576
NR1D2_PER1,Q14995_O15534,0.1576
PER1_CLOCK,O15534_O15516,0.1565
CLOCK_PER1,O15516_O15534,0.1565
PER2_RORB,O15055_Q92753,0.1559
PER1_NPAS2,O15534_Q99743,0.1559
RORB_PER2,Q92753_O15055,0.1559
NPAS2_PER1,Q99743_O15534,0.1559
NR1D1_CRY1,P20393_Q16526,0.1545
CRY1_NR1D1,Q16526_P20393,0.1545
CRY1_CRY2,Q16526_Q49AN0,0.1536
CRY2_CRY1,Q49AN0_Q16526,0.1536
RORC_PER2,P51449_O15055,0.1532
PER2_RORC,O15055_P51449,0.1532
PER1_PER3,O15534_P56645,0.1525
PER3_PER1,P56645_O15534,0.1525
CLOCK_CRY2,O15516_Q49AN0,0.1523
CRY2_CLOCK,Q49AN0_O15516,0.1523
PER1_PER2,O15534_O15055,0.1509
PER2_PER1,O15055_O15534,0.1509
NR1D1_PER3,P20393_P56645,0.15
PER3_NR1D1,P56645_P20393,0.15
PER3_CRY2,P56645_Q49AN0,0.148
CRY2_PER3,Q49AN0_P56645,0.148
PER2_CRY1,O15055_Q16526,0.1478
CRY1_PER2,Q16526_O15055,0.1478
CLOCK_PER2,O15516_O15055,0.1475
PER2_CLOCK,O15055_O15516,0.1475
NR1D1_PER2,P20393_O15055,0.147
PER2_NR1D1,O15055_P20393,0.147
NR1D2_PER2,Q14995_O15055,0.1461
PER2_NR1D2,O15055_Q14995,0.1461
PER1_ARNTL2,O15534_Q8WYA1,0.1451
ARNTL2_PER1,Q8WYA1_O15534,0.1451
RORA_CLOCK,P35398_O15516,0.144
CLOCK_RORA,O15516_P35398,0.144
CRY1_PER3,Q16526_P56645,0.1426
PER3_CRY1,P56645_Q16526,0.1426
PER3_RORC,P56645_P51449,0.1414
RORC_PER3,P51449_P56645,0.1414
CRY1_NR1D2,Q16526_Q14995,0.1414
NR1D2_CRY1,Q14995_Q16526,0.1414
PER3_PER2,P56645_O15055,0.1401
PER2_PER3,O15055_P56645,0.1401
NR1D2_CRY2,Q14995_Q49AN0,0.1364
CRY2_NR1D2,Q49AN0_Q14995,0.1364
CLOCK_PER3,O15516_P56645,0.1361
PER3_CLOCK,P56645_O15516,0.1361
CRY1_RORB,Q16526_Q92753,0.1349
RORB_CRY1,Q92753_Q16526,0.1349
CRY2_PER2,Q49AN0_O15055,0.1334
PER2_CRY2,O15055_Q49AN0,0.1334
NR1D1_PER1,P20393_O15534,0.1327
PER1_NR1D1,O15534_P20393,0.1327
PER2_ARNTL,O15055_O00327,0.1327
ARNTL_PER2,O00327_O15055,0.1327
NR1D2_RORB,Q14995_Q92753,0.1321
RORB_NR1D2,Q92753_Q14995,0.1321
CRY1_PER1,Q16526_O15534,0.1313
PER1_CRY1,O15534_Q16526,0.1313
ARNTL_CRY2,O00327_Q49AN0,0.131
CRY2_ARNTL,Q49AN0_O00327,0.131
CRY1_ARNTL2,Q16526_Q8WYA1,0.1294
ARNTL2_CRY1,Q8WYA1_Q16526,0.1294
CRY2_PER1,Q49AN0_O15534,0.1254
PER1_CRY2,O15534_Q49AN0,0.1254
NR1D1_ARNTL,P20393_O00327,0.12366
ARNTL_NR1D1,O00327_P20393,0.12366
CRY2_ARNTL2,Q49AN0_Q8WYA1,0.1224
