gene_pairs,score
O00327_O15055,0.06464
O00327_O15516,0.9995
O00327_O15534,0.0338
O00327_O75376,0.059
O00327_P23246,0.01555
O00327_P51449,0.01936
O00327_P56645,0.02733
O00327_P61244,0.007835
O00327_P61586,0.01056
O00327_Q09472,0.01721
O00327_Q15233,0.01617
O00327_Q15910,0.02873
O00327_Q16526,0.3315
O00327_Q16665,0.02951
O00327_Q49AN0,0.4565
O00327_Q8WYA1,0.01607
O00327_Q92793,0.02084
O00327_Q99743,1.0
O00327_Q99814,0.0479
O00327_Q9BZK7,0.01548
O00571_Q49AN0,0.684
O15055_O15516,0.05002
O15055_O15534,0.05957
O15055_P02545,0.00955
O15055_P15311,0.04053
O15055_P20393,0.05365
O15055_P22626,0.04013
O15055_P23246,0.02051
O15055_P40692,0.06064
O15055_P51449,0.1084
O15055_P56645,0.04065
O15055_P60228,0.1087
O15055_Q00610,0.10986
O15055_Q15233,0.02391
O15055_Q16526,0.2664
O15055_Q16665,0.04297
O15055_Q49AN0,0.3018
O15055_Q8WYA1,0.0779
O15055_Q99743,0.04468
O15516_O15534,0.026
O15516_P51449,0.010605
O15516_P56645,0.04715
O15516_P61244,0.0724
O15516_P61586,0.07654
O15516_Q09472,0.01837
O15516_Q12888,0.328
O15516_Q14995,0.015015
O15516_Q15233,0.02069
O15516_Q15276,0.01897
O15516_Q15910,0.03516
O15516_Q16526,0.996
O15516_Q16665,0.04413
O15516_Q49AN0,0.9976
O15516_Q8WYA1,0.9995
O15516_Q92753,0.01865
O15516_Q92793,0.02068
O15516_Q99743,0.0497
O15516_Q99814,0.03516
O15534_O96017,0.06573
O15534_P56645,0.0253
O15534_Q14995,0.0641
O15534_Q16526,0.3457
O15534_Q49AN0,0.2047
O15534_Q8WYA1,0.05972
O15534_Q99743,0.1083
O75376_P20393,0.02428
O75376_P51449,0.01118
O75376_Q14995,0.0676
O75376_Q92753,0.013596
O96017_P56645,0.1149
P02545_Q49AN0,0.00559
P06239_Q92753,0.0455
P06748_Q16526,0.1407
P15172_P35398,0.02733
P20393_Q14995,0.02469
P20393_Q15233,0.02711
P20393_Q9Y618,0.0799
P23246_Q16526,0.06244
P30153_P51449,0.0816
P30153_Q16526,0.0917
P31040_Q16526,0.1044
P31040_Q49AN0,0.069
P35398_Q09472,0.0295
P35398_Q15910,0.053
P35398_Q16665,0.1278
P35398_Q92753,0.00836
P35398_Q92793,0.01741
P38398_Q49AN0,0.6787
P51449_Q09472,0.01434
P51449_Q14995,0.01554
P51449_Q8WYA1,0.01333
P51449_Q92753,0.02303
P51449_Q92793,0.02573
P51449_Q99743,0.0237
P51449_Q9Y618,0.0682
P56645_Q16526,0.996
P56645_Q49AN0,0.9956
P56645_Q99743,0.03107
Q09472_Q99743,0.01149
Q13191_Q16526,0.1664
Q14995_Q16526,0.0753
Q14995_Q9Y618,0.12054
Q15233_Q49AN0,0.04132
Q15233_Q99743,0.02393
Q15910_Q49AN0,0.0543
Q16526_Q49AN0,0.075
Q16526_Q8WYA1,0.2153
Q16526_Q969H0,0.1039
Q16526_Q99743,0.9985
Q16526_Q99814,0.6494
Q16665_Q8WYA1,0.01471
Q16665_Q99743,0.01466
Q49AN0_Q969H0,0.0961
Q49AN0_Q99743,0.9966
Q49AN0_Q99814,0.571
Q8WYA1_Q99743,0.9995
Q8WYA1_Q99814,0.0384
Q92753_Q9Y618,0.11395
Q92793_Q99743,0.05164
Q99743_Q99814,0.03032
Q99743_Q9BZK7,0.03378
