gene_pairs,score
O15055_O15534,0.05957
O15534_P56645,0.0253
O15516_O15534,0.026
O15534_Q99743,0.1083
O15516_Q99814,0.03516
Q99743_Q99814,0.03032
O00327_Q99814,0.0479
Q8WYA1_Q99814,0.0384
O15516_Q16665,0.04413
Q16665_Q99743,0.01466
O00327_Q16665,0.02951
Q16665_Q8WYA1,0.01471
O15055_Q00610,0.10986
O15055_P40692,0.06064
O15055_P15311,0.04053
O15516_Q09472,0.01837
O15055_P02545,0.00955
P35398_Q09472,0.0295
Q09472_Q99743,0.01149
Q15910_Q49AN0,0.0543
O00327_Q09472,0.01721
O15516_Q15910,0.03516
O15055_P60228,0.1087
O15055_Q16665,0.04297
P35398_Q15910,0.053
P51449_Q09472,0.01434
O15516_Q92793,0.02068
O15516_Q12888,0.328
P31040_Q49AN0,0.069
P31040_Q16526,0.1044
P35398_Q92793,0.01741
Q92793_Q99743,0.05164
O96017_P56645,0.1149
O00327_Q15910,0.02873
P30153_Q16526,0.0917
O15055_P23246,0.02051
Q13191_Q16526,0.1664
O75376_Q92753,0.013596
O15534_Q49AN0,0.2047
O15534_Q16526,0.3457
O00327_Q92793,0.02084
O00571_Q49AN0,0.684
O15055_P22626,0.04013
O15055_Q15233,0.02391
O15534_O96017,0.06573
Q49AN0_Q969H0,0.0961
Q16526_Q969H0,0.1039
Q49AN0_Q99814,0.571
P51449_Q92793,0.02573
Q16526_Q99814,0.6494
P02545_Q49AN0,0.00559
P38398_Q49AN0,0.6787
Q92753_Q9Y618,0.11395
O75376_P51449,0.01118
O75376_P20393,0.02428
O00327_O15534,0.0338
O75376_Q14995,0.0676
O15516_Q15276,0.01897
O15534_Q8WYA1,0.05972
P30153_P51449,0.0816
O15534_Q14995,0.0641
P51449_Q9Y618,0.0682
P06239_Q92753,0.0455
P20393_Q9Y618,0.0799
O00327_Q9BZK7,0.01548
Q14995_Q9Y618,0.12054
P35398_Q16665,0.1278
P23246_Q16526,0.06244
Q15233_Q49AN0,0.04132
P06748_Q16526,0.1407
O15516_P61586,0.07654
O15516_P61244,0.0724
O00327_P61586,0.01056
P15172_P35398,0.02733
O00327_P61244,0.007835
O00327_O75376,0.059
Q99743_Q9BZK7,0.03378
O15516_Q15233,0.02069
Q15233_Q99743,0.02393
O00327_P23246,0.01555
O00327_Q15233,0.01617
P20393_Q15233,0.02711
