gene_pairs,uniprot_pairs,score
NPAS2_ARNTL,Q99743_O00327,1.0
ARNTL_NPAS2,O00327_Q99743,1.0
NPAS2_ARNTL2,Q99743_Q8WYA1,0.9995
CLOCK_ARNTL,O15516_O00327,0.9995
ARNTL2_NPAS2,Q8WYA1_Q99743,0.9995
ARNTL2_CLOCK,Q8WYA1_O15516,0.9995
ARNTL_CLOCK,O00327_O15516,0.9995
CLOCK_ARNTL2,O15516_Q8WYA1,0.9995
CRY1_NPAS2,Q16526_Q99743,0.9985
NPAS2_CRY1,Q99743_Q16526,0.9985
CLOCK_CRY2,O15516_Q49AN0,0.9976
CRY2_CLOCK,Q49AN0_O15516,0.9976
NPAS2_CRY2,Q99743_Q49AN0,0.9966
CRY2_NPAS2,Q49AN0_Q99743,0.9966
CRY1_CLOCK,Q16526_O15516,0.996
CLOCK_CRY1,O15516_Q16526,0.996
PER3_CRY1,P56645_Q16526,0.996
CRY1_PER3,Q16526_P56645,0.996
CRY2_PER3,Q49AN0_P56645,0.9956
PER3_CRY2,P56645_Q49AN0,0.9956
CRY2_DDX3X,Q49AN0_O00571,0.684
DDX3X_CRY2,O00571_Q49AN0,0.684
BRCA1_CRY2,P38398_Q49AN0,0.6787
CRY2_BRCA1,Q49AN0_P38398,0.6787
CRY1_EPAS1,Q16526_Q99814,0.6494
EPAS1_CRY1,Q99814_Q16526,0.6494
CRY2_EPAS1,Q49AN0_Q99814,0.571
EPAS1_CRY2,Q99814_Q49AN0,0.571
CRY2_ARNTL,Q49AN0_O00327,0.4565
ARNTL_CRY2,O00327_Q49AN0,0.4565
PER1_CRY1,O15534_Q16526,0.3457
CRY1_PER1,Q16526_O15534,0.3457
ARNTL_CRY1,O00327_Q16526,0.3315
CRY1_ARNTL,Q16526_O00327,0.3315
CLOCK_TP53,O15516_Q12888,0.328
TP53_CLOCK,Q12888_O15516,0.328
PER2_CRY2,O15055_Q49AN0,0.3018
CRY2_PER2,Q49AN0_O15055,0.3018
CRY1_PER2,Q16526_O15055,0.2664
PER2_CRY1,O15055_Q16526,0.2664
ARNTL2_CRY1,Q8WYA1_Q16526,0.2153
CRY1_ARNTL2,Q16526_Q8WYA1,0.2153
PER1_CRY2,O15534_Q49AN0,0.2047
CRY2_PER1,Q49AN0_O15534,0.2047
CBLB_CRY1,Q13191_Q16526,0.1664
CRY1_CBLB,Q16526_Q13191,0.1664
CRY1_NPM1,Q16526_P06748,0.1407
NPM1_CRY1,P06748_Q16526,0.1407
RORA_HIF1A,P35398_Q16665,0.1278
HIF1A_RORA,Q16665_P35398,0.1278
NR1D2_NCOR2,Q14995_Q9Y618,0.12054
NCOR2_NR1D2,Q9Y618_Q14995,0.12054
PER3_CHEK2,P56645_O96017,0.1149
CHEK2_PER3,O96017_P56645,0.1149
RORB_NCOR2,Q92753_Q9Y618,0.11395
NCOR2_RORB,Q9Y618_Q92753,0.11395
CLTC_PER2,Q00610_O15055,0.10986
PER2_CLTC,O15055_Q00610,0.10986
EIF3E_PER2,P60228_O15055,0.1087
PER2_EIF3E,O15055_P60228,0.1087
PER2_RORC,O15055_P51449,0.1084
RORC_PER2,P51449_O15055,0.1084
NPAS2_PER1,Q99743_O15534,0.1083
PER1_NPAS2,O15534_Q99743,0.1083
CRY1_SDHA,Q16526_P31040,0.1044
SDHA_CRY1,P31040_Q16526,0.1044
CRY1_FBXW7,Q16526_Q969H0,0.1039
FBXW7_CRY1,Q969H0_Q16526,0.1039
FBXW7_CRY2,Q969H0_Q49AN0,0.0961
CRY2_FBXW7,Q49AN0_Q969H0,0.0961
CRY1_PPP2R1A,Q16526_P30153,0.0917
PPP2R1A_CRY1,P30153_Q16526,0.0917
PPP2R1A_RORC,P30153_P51449,0.0816
RORC_PPP2R1A,P51449_P30153,0.0816
NCOR2_NR1D1,Q9Y618_P20393,0.0799
NR1D1_NCOR2,P20393_Q9Y618,0.0799
PER2_ARNTL2,O15055_Q8WYA1,0.0779
ARNTL2_PER2,Q8WYA1_O15055,0.0779
RHOA_CLOCK,P61586_O15516,0.07654
CLOCK_RHOA,O15516_P61586,0.07654
NR1D2_CRY1,Q14995_Q16526,0.0753
CRY1_NR1D2,Q16526_Q14995,0.0753
CRY2_CRY1,Q49AN0_Q16526,0.075
CRY1_CRY2,Q16526_Q49AN0,0.075
CLOCK_MAX,O15516_P61244,0.0724
MAX_CLOCK,P61244_O15516,0.0724
SDHA_CRY2,P31040_Q49AN0,0.069
CRY2_SDHA,Q49AN0_P31040,0.069
RORC_NCOR2,P51449_Q9Y618,0.0682
NCOR2_RORC,Q9Y618_P51449,0.0682
