gene_pairs,uniprot_pairs,score
NPAS2_ARNTL,Q99743_O00327,0.9966
ARNTL_NPAS2,O00327_Q99743,0.9966
CLOCK_ARNTL2,O15516_Q8WYA1,0.996
ARNTL2_CLOCK,Q8WYA1_O15516,0.996
NPAS2_ARNTL2,Q99743_Q8WYA1,0.995
ARNTL2_NPAS2,Q8WYA1_Q99743,0.995
CLOCK_ARNTL,O15516_O00327,0.9907
ARNTL_CLOCK,O00327_O15516,0.9907
NR1D1_NR1D2,P20393_Q14995,0.391
NR1D2_NR1D1,Q14995_P20393,0.391
CRY2_NONO,Q49AN0_Q15233,0.3835
NONO_CRY2,Q15233_Q49AN0,0.3835
NONO_ARNTL,Q15233_O00327,0.3616
ARNTL_NONO,O00327_Q15233,0.3616
SFPQ_ARNTL,P23246_O00327,0.353
ARNTL_SFPQ,O00327_P23246,0.353
NCOR1_ARNTL,O75376_O00327,0.347
ARNTL_NCOR1,O00327_O75376,0.347
NPAS2_CRY1,Q99743_Q16526,0.3005
CRY1_NPAS2,Q16526_Q99743,0.3005
TBL1XR1_NPAS2,Q9BZK7_Q99743,0.299
NPAS2_TBL1XR1,Q99743_Q9BZK7,0.299
NCOR1_NR1D1,O75376_P20393,0.2886
NR1D1_NCOR1,P20393_O75376,0.2886
RORA_NR1D1,P35398_P20393,0.2842
NR1D1_RORA,P20393_P35398,0.2842
LMNA_CLOCK,P02545_O15516,0.2827
CLOCK_LMNA,O15516_P02545,0.2827
NONO_NPAS2,Q15233_Q99743,0.281
NPAS2_NONO,Q99743_Q15233,0.281
RORB_RORA,Q92753_P35398,0.2795
RORA_RORB,P35398_Q92753,0.2795
CLOCK_NONO,O15516_Q15233,0.2744
NONO_CLOCK,Q15233_O15516,0.2744
MLH1_CLOCK,P40692_O15516,0.2666
CLOCK_MLH1,O15516_P40692,0.2666
MLH1_NR1D1,P40692_P20393,0.2568
NR1D1_MLH1,P20393_P40692,0.2568
NR1D1_NONO,P20393_Q15233,0.2554
NONO_NR1D1,Q15233_P20393,0.2554
MLH1_NR1D2,P40692_Q14995,0.2532
NR1D2_MLH1,Q14995_P40692,0.2532
NPAS2_NCOR2,Q99743_Q9Y618,0.2517
NCOR2_NPAS2,Q9Y618_Q99743,0.2517
NPAS2_LMNA,Q99743_P02545,0.2473
LMNA_NPAS2,P02545_Q99743,0.2473
CLOCK_BRCA1,O15516_P38398,0.2451
BRCA1_CLOCK,P38398_O15516,0.2451
LMNA_PER2,P02545_O15055,0.2373
PER2_LMNA,O15055_P02545,0.2373
SFPQ_CLOCK,P23246_O15516,0.2363
CLOCK_SFPQ,O15516_P23246,0.2363
CLOCK_RABEP1,O15516_Q15276,0.2347
RABEP1_CLOCK,Q15276_O15516,0.2347
NCOR2_NR1D1,Q9Y618_P20393,0.2341
NR1D1_NCOR2,P20393_Q9Y618,0.2341
RORC_RORA,P51449_P35398,0.234
RORA_RORC,P35398_P51449,0.234
PER1_RORB,O15534_Q92753,0.2334
RORB_PER1,Q92753_O15534,0.2334
NPAS2_MLH1,Q99743_P40692,0.2332
MLH1_NPAS2,P40692_Q99743,0.2332
NPAS2_NCOR1,Q99743_O75376,0.226
NCOR1_NPAS2,O75376_Q99743,0.226
CRY1_HIF1A,Q16526_Q16665,0.225
HIF1A_CRY1,Q16665_Q16526,0.225
PER3_NPAS2,P56645_Q99743,0.2244
NPAS2_PER3,Q99743_P56645,0.2244
MLH1_ARNTL2,P40692_Q8WYA1,0.218
ARNTL2_MLH1,Q8WYA1_P40692,0.218
PER2_HIF1A,O15055_Q16665,0.2162
RORC_NR1D2,P51449_Q14995,0.2162
NR1D2_RORC,Q14995_P51449,0.2162
HIF1A_PER2,Q16665_O15055,0.2162
EPAS1_RORB,Q99814_Q92753,0.2148
RORB_EPAS1,Q92753_Q99814,0.2148
NCOR1_NR1D2,O75376_Q14995,0.2117
NR1D2_NCOR1,Q14995_O75376,0.2117
NPAS2_EPAS1,Q99743_Q99814,0.211
EPAS1_NPAS2,Q99814_Q99743,0.211
ARNTL_NCOR2,O00327_Q9Y618,0.211
NCOR2_ARNTL,Q9Y618_O00327,0.211
CRY1_TBL1XR1,Q16526_Q9BZK7,0.2064
TBL1XR1_CRY1,Q9BZK7_Q16526,0.2064
CHEK2_PER1,O96017_O15534,0.2063
PER1_CHEK2,O15534_O96017,0.2063
CREBBP_ARNTL2,Q92793_Q8WYA1,0.2034
ARNTL2_CREBBP,Q8WYA1_Q92793,0.2034
HIF1A_CRY2,Q16665_Q49AN0,0.201
CRY2_HIF1A,Q49AN0_Q16665,0.201
FBXW7_ARNTL,Q969H0_O00327,0.2002
ARNTL_FBXW7,O00327_Q969H0,0.2002
CRY2_CHEK2,Q49AN0_O96017,0.2
CHEK2_CRY2,O96017_Q49AN0,0.2
NCOR1_RORC,O75376_P51449,0.1995
RORC_NCOR1,P51449_O75376,0.1995
EPAS1_CRY2,Q99814_Q49AN0,0.1993
