gene_pairs,uniprot_pairs,score
ARNTL2_ARNTL,Q8WYA1_O00327,0.18
ARNTL2_CLOCK,Q8WYA1_O15516,0.996
ARNTL2_CRY1,Q8WYA1_Q16526,0.1294
ARNTL2_CRY2,Q8WYA1_Q49AN0,0.1224
ARNTL2_NPAS2,Q8WYA1_Q99743,0.995
ARNTL2_NR1D1,Q8WYA1_P20393,0.0936
ARNTL2_NR1D2,Q8WYA1_Q14995,0.1051
ARNTL2_PER1,Q8WYA1_O15534,0.1451
ARNTL2_PER2,Q8WYA1_O15055,0.1614
ARNTL2_PER3,Q8WYA1_P56645,0.1711
ARNTL2_RORB,Q8WYA1_Q92753,0.0956
ARNTL2_RORC,Q8WYA1_P51449,0.05447
ARNTL_ARNTL2,O00327_Q8WYA1,0.18
ARNTL_CLOCK,O00327_O15516,0.9907
ARNTL_CRY1,O00327_Q16526,0.11523
ARNTL_CRY2,O00327_Q49AN0,0.131
ARNTL_NPAS2,O00327_Q99743,0.9966
ARNTL_NR1D1,O00327_P20393,0.12366
ARNTL_NR1D2,O00327_Q14995,0.07776
ARNTL_PER1,O00327_O15534,0.1222
ARNTL_PER2,O00327_O15055,0.1327
ARNTL_PER3,O00327_P56645,0.1964
ARNTL_RORB,O00327_Q92753,0.08527
ARNTL_RORC,O00327_P51449,0.07025
CLOCK_ARNTL,O15516_O00327,0.9907
CLOCK_ARNTL2,O15516_Q8WYA1,0.996
CLOCK_CRY1,O15516_Q16526,0.1588
CLOCK_CRY2,O15516_Q49AN0,0.1523
CLOCK_NPAS2,O15516_Q99743,0.1782
CLOCK_NR1D1,O15516_P20393,0.0937
CLOCK_NR1D2,O15516_Q14995,0.1056
CLOCK_PER1,O15516_O15534,0.1565
CLOCK_PER2,O15516_O15055,0.1475
CLOCK_PER3,O15516_P56645,0.1361
CLOCK_RORA,O15516_P35398,0.144
CLOCK_RORB,O15516_Q92753,0.11975
CLOCK_RORC,O15516_P51449,0.11804
