gene_pairs,score
O15055_O15534,0.1509
Q09472_Q49AN0,0.161
Q09472_Q16526,0.1967
O15516_Q09472,0.1906
Q09472_Q99743,0.1929
Q09472_Q92753,0.1714
O15534_P56645,0.1525
Q00610_Q49AN0,0.1572
Q00610_Q16526,0.1489
Q15910_Q49AN0,0.146
Q15910_Q16526,0.1393
Q16526_Q92793,0.1469
P40692_Q49AN0,0.1278
P40692_Q16526,0.1876
O15516_Q92793,0.1802
O15516_P40692,0.2666
O75376_Q49AN0,0.1971
O75376_Q16526,0.1605
Q92793_Q99743,0.1943
P40692_Q99743,0.2332
P40692_Q92753,0.123
P30153_Q49AN0,0.1625
P30153_Q16526,0.1804
O15516_Q13191,0.1304
O00327_P40692,0.1914
O15516_O15534,0.1565
O00571_Q49AN0,0.1854
O00571_Q16526,0.1515
Q49AN0_Q9Y618,0.11725
Q16526_Q9Y618,0.1354
O00571_O15516,0.1284
P40692_Q8WYA1,0.218
O15534_Q99743,0.1559
O15534_O96017,0.2063
Q49AN0_Q969H0,0.0983
Q16526_Q969H0,0.138
P40692_P51449,0.1245
P20393_P40692,0.2568
O15516_Q99814,0.1493
P40692_Q14995,0.2532
Q99743_Q9Y618,0.2517
O15516_P02545,0.2827
Q49AN0_Q9BZK7,0.1246
O75376_P51449,0.1995
Q16526_Q9BZK7,0.2064
O15516_P38398,0.2451
O15516_Q15276,0.2347
Q99743_Q99814,0.211
P02545_Q99743,0.2473
Q92753_Q99814,0.2148
P06239_Q49AN0,0.1405
O96017_Q49AN0,0.2
O96017_Q16526,0.1956
P06239_Q16526,0.1515
O15516_O96017,0.1395
O00571_Q8WYA1,0.138
P60228_Q49AN0,0.1508
P60228_Q16526,0.1688
O15516_P60228,0.1174
O96017_P35398,0.1316
O96017_Q99743,0.1489
Q16665_Q49AN0,0.201
Q16526_Q16665,0.225
O96017_Q92753,0.135
P20393_Q9Y618,0.2341
Q8WYA1_Q99814,0.1536
O15516_Q16665,0.1287
P02545_Q8WYA1,0.1349
O15534_P22626,0.095
P02545_P51449,0.09644
P35398_Q16665,0.1384
Q16665_Q99743,0.10187
O00327_O96017,0.11084
Q16665_Q92753,0.1555
O96017_Q8WYA1,0.1389
P23246_Q16526,0.1865
O15516_P23246,0.2363
O96017_P51449,0.176
O00327_Q16665,0.1033
P22626_Q49AN0,0.1868
O96017_Q14995,0.174
P22626_Q16526,0.1766
Q15233_Q49AN0,0.3835
Q15233_Q16526,0.1978
Q16665_Q8WYA1,0.1172
P23246_Q99743,0.1871
O15516_P22626,0.12286
O15516_Q15233,0.2744
P51449_Q16665,0.1262
P56645_P61244,0.10223
P20393_Q16665,0.135
P22626_P35398,0.1121
P22626_Q99743,0.1609
Q15233_Q99743,0.281
P22626_Q92753,0.1388
Q15233_Q92753,0.1001
P23246_Q8WYA1,0.1425
O00327_P22626,0.0856
P61586_Q49AN0,0.0467
P61586_Q16526,0.062
P22626_Q8WYA1,0.09
O15534_P61244,0.162
Q15233_Q8WYA1,0.187
O15516_P61586,0.08167
P22626_P51449,0.1268
P06748_Q99743,0.1041
P51449_Q15233,0.1279
P22626_Q14995,0.1091
P61586_Q99743,0.06046
P61244_Q49AN0,0.1462
P61244_Q16526,0.09985
O15516_P61244,0.05667
P35398_P61244,0.03885
P61244_Q99743,0.1066
P61244_Q92753,0.0443
O15516_P15172,0.04355
P15172_Q99743,0.0447
P15172_Q92753,0.03876
P61244_Q8WYA1,0.0329
P15172_Q8WYA1,0.0555
O15055_Q00610,0.1498
O15055_P40692,0.1753
O15055_P15311,0.1622
O15055_P02545,0.2373
P35398_Q09472,0.1698
O00327_Q09472,0.1528
O15516_Q15910,0.1826
O15055_P60228,0.1439
O15055_Q16665,0.2162
P35398_Q15910,0.1158
P51449_Q09472,0.1263
O15516_Q12888,0.1642
P31040_Q49AN0,0.1329
P31040_Q16526,0.1438
P35398_Q92793,0.12195
O96017_P56645,0.1669
O00327_Q15910,0.181
O15055_P23246,0.1132
Q13191_Q16526,0.1267
O75376_Q92753,0.1909
O15534_Q49AN0,0.1254
O15534_Q16526,0.1313
O00327_Q92793,0.154
O15055_P22626,0.1251
O15055_Q15233,0.1458
P51449_Q92793,0.1059
Q49AN0_Q99814,0.1993
Q16526_Q99814,0.192
P02545_Q49AN0,0.1484
P38398_Q49AN0,0.1231
Q92753_Q9Y618,0.1575
O75376_P20393,0.2886
O00327_O15534,0.1222
O75376_Q14995,0.2117
O15534_Q8WYA1,0.1451
P30153_P51449,0.1359
O00327_Q99814,0.196
O15534_Q14995,0.1576
P51449_Q9Y618,0.1515
P06239_Q92753,0.1175
O00327_Q9BZK7,0.158
Q14995_Q9Y618,0.16
P06748_Q16526,0.175
O00327_P61586,0.0444
P15172_P35398,0.0487
O00327_P61244,0.04858
O15055_Q09472,0.1617
